t,bat,h,yaw
1770328177.6205678,50.0,100.0,30.0
1770328177.66633,50.0,100.0,30.0
1770328177.6813886,50.0,100.0,29.0
1770328177.7122054,50.0,100.0,29.0
1770328177.7272708,50.0,100.0,29.0
1770328177.7718453,50.0,100.0,29.0
1770328177.7866895,50.0,100.0,29.0
1770328177.8322382,50.0,100.0,29.0
1770328177.848012,50.0,100.0,29.0
1770328177.8799045,50.0,100.0,29.0
1770328177.8954914,50.0,100.0,28.0
1770328177.9267275,50.0,100.0,28.0
1770328177.9425094,50.0,100.0,28.0
1770328177.9741414,50.0,100.0,28.0
1770328177.9886296,50.0,100.0,27.0
1770328178.0206144,50.0,100.0,27.0
1770328178.0354772,50.0,100.0,27.0
1770328178.0661705,50.0,100.0,27.0
1770328178.0818508,50.0,100.0,27.0
1770328178.11284,50.0,100.0,27.0
1770328178.1285963,50.0,100.0,27.0
1770328178.1604478,50.0,100.0,27.0
1770328178.17573,50.0,100.0,27.0
1770328178.206982,50.0,100.0,26.0
1770328178.2225142,50.0,100.0,26.0
1770328178.253448,50.0,100.0,26.0
1770328178.2692084,50.0,100.0,26.0
1770328178.301088,50.0,100.0,25.0
1770328178.3157742,50.0,100.0,25.0
1770328178.3472521,50.0,100.0,25.0
1770328178.362588,50.0,100.0,25.0
1770328178.3931713,50.0,100.0,25.0
1770328178.408798,50.0,100.0,25.0
1770328178.4397922,50.0,100.0,25.0
1770328178.454857,50.0,100.0,25.0
1770328178.485557,50.0,100.0,25.0
1770328178.5010805,50.0,110.0,24.0
1770328178.547875,50.0,110.0,24.0
1770328178.5628352,50.0,110.0,24.0
1770328178.5928688,50.0,110.0,24.0
1770328178.6087198,50.0,110.0,23.0
1770328178.6557646,50.0,110.0,23.0
1770328178.6704228,50.0,110.0,23.0
1770328178.701308,50.0,110.0,23.0
1770328178.7171779,50.0,110.0,23.0
1770328178.7631757,50.0,110.0,23.0
1770328178.7791343,50.0,110.0,23.0
1770328183.0382245,50.0,0.0,24.0
1770328183.0885243,50.0,0.0,24.0
1770328183.1389453,50.0,0.0,24.0
1770328183.190207,50.0,0.0,24.0
1770328183.241443,50.0,0.0,24.0
1770328183.2550287,50.0,0.0,24.0
1770328183.2859163,50.0,0.0,24.0
1770328183.3019106,50.0,0.0,24.0
1770328183.332792,50.0,0.0,24.0
1770328183.347876,50.0,0.0,24.0
1770328183.3786225,50.0,0.0,24.0
1770328183.39426,50.0,0.0,24.0
1770328183.4260561,50.0,0.0,24.0
1770328183.4418464,50.0,0.0,24.0
1770328183.4727192,50.0,0.0,24.0
1770328183.4879615,50.0,0.0,24.0
1770328183.519201,50.0,0.0,24.0
1770328183.5343454,50.0,0.0,24.0
1770328183.5655084,50.0,0.0,24.0
1770328183.5803564,50.0,0.0,24.0
1770328183.6111355,50.0,0.0,24.0
1770328183.6269345,50.0,0.0,24.0
1770328183.6583364,50.0,0.0,24.0
1770328183.6744373,50.0,0.0,24.0
1770328183.7047787,50.0,0.0,24.0
1770328183.7202404,50.0,0.0,24.0
1770328183.7511365,50.0,0.0,24.0
1770328183.7664964,50.0,0.0,24.0
1770328183.798081,50.0,0.0,24.0
1770328183.8130722,50.0,0.0,24.0
1770328183.8438993,50.0,0.0,24.0
1770328183.8591292,50.0,0.0,24.0
1770328183.8891208,50.0,0.0,24.0
1770328183.904127,50.0,0.0,24.0
1770328183.9344246,50.0,0.0,24.0
1770328183.9494264,50.0,0.0,24.0
1770328183.9803119,50.0,0.0,24.0
1770328183.994785,50.0,0.0,24.0
1770328184.0253003,50.0,0.0,24.0
1770328184.0413408,50.0,0.0,24.0
1770328184.0716615,50.0,0.0,24.0
1770328184.087738,50.0,0.0,24.0
1770328184.1185784,50.0,0.0,24.0
1770328184.1338902,50.0,0.0,24.0
1770328184.1655302,50.0,0.0,24.0
1770328184.1807551,50.0,0.0,24.0
1770328184.2117221,50.0,0.0,24.0
1770328184.2273593,50.0,0.0,24.0
1770328184.259219,50.0,0.0,24.0
1770328184.2744172,50.0,0.0,24.0
1770328184.3058336,50.0,0.0,24.0
1770328184.321049,50.0,0.0,24.0
1770328184.3523657,50.0,0.0,24.0
1770328184.367477,50.0,0.0,24.0
1770328184.3978083,50.0,0.0,24.0
1770328184.4138649,50.0,0.0,24.0
1770328184.4446867,50.0,0.0,24.0
1770328184.45977,50.0,0.0,24.0
1770328184.4908707,50.0,0.0,24.0
1770328184.5068069,50.0,0.0,24.0
1770328184.5375896,50.0,0.0,24.0
1770328184.5527706,50.0,0.0,24.0
1770328184.5840957,50.0,0.0,24.0
1770328184.5995054,50.0,0.0,24.0
1770328184.630235,50.0,0.0,24.0
1770328184.6460028,50.0,0.0,24.0
1770328184.6762648,50.0,0.0,24.0
1770328184.6915755,50.0,0.0,24.0
1770328184.7228096,50.0,0.0,24.0
1770328184.7387087,50.0,0.0,24.0
1770328184.7686114,50.0,0.0,24.0
1770328184.783975,50.0,0.0,24.0
1770328184.8151498,50.0,0.0,24.0
1770328184.830731,50.0,0.0,24.0
1770328184.8767827,50.0,0.0,24.0
1770328184.8920112,50.0,0.0,24.0
1770328184.923267,50.0,0.0,24.0
1770328184.9389617,50.0,0.0,24.0
1770328184.96983,50.0,0.0,24.0
1770328184.9857898,50.0,0.0,24.0
1770328185.0166843,50.0,0.0,24.0
1770328185.032719,50.0,0.0,24.0
1770328185.0635922,50.0,0.0,24.0
1770328185.079809,50.0,0.0,24.0
1770328185.1098807,50.0,0.0,24.0
1770328185.1252253,50.0,0.0,24.0
